stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1638,N1638,Dwyer at Lonely Oaks,DWYER RD & TULIP ST,30.021719,-90.001975,,,,,0
1639,N1639,Mayo at Dwyer,MAYO RD & DWYER RD,30.022468,-89.999633,,,,,0
1640,N1640,Lake Forest at Mayo,LAKE FOREST BLVD & MAYO RD,30.023576,-89.999795,,,,,0
1641,N1641,Lake Forest at Samovar,LAKE FOREST BLVD & SAMOVAR DR,30.024234,-89.997474,,,,,0
1642,N1642,Lake Forest at Wentworth,LAKE FOREST BLVD & WENTWORTH DR,30.025399,-89.994636,,,,,0
1643,N1643,Lake Forest at Crowder,LAKE FOREST BLVD & CROWDER BLVD,30.026779,-89.992039,,,,,0
1644,N1644,Lake Forest at Light Standard 58,LAKE FOREST BLVD & SYCAMORE LN,30.027756,-89.98892,,,,,0
1645,N1645,Lake Forest at Benson Canal,LAKE FOREST BLVD & BENSON CANAL,30.028161,-89.986846,,,,,0
1646,N1646,Lake Forest at Glouster,LAKE FOREST BLVD & GLOUSTER RD,30.028437,-89.985395,,,,,0
1647,N1647,Lake Forest at Bundy,BUNDY RD & LAKE FOREST BLVD,30.028781,-89.98275,,,,,0
1648,N1648,Lake Forest at Light Standard 110,LAKE FOREST BLVD & READ BLVD,30.030661,-89.976667,,,,,0
1649,N1649,Lake Forest at Light Standard 120,LAKE FOREST BLVD & READ BLVD,30.031496,-89.975001,,,,,0
1650,N1650,Lake Forest at Read,LAKE FOREST BLVD & UNNAMED ST,30.032359,-89.973324,,,,,0
1651,N1651,Lake Forest at Forest Tower,LAKE FOREST BLVD & READ BLVD,30.032977,-89.971967,,,,,0
1652,N1652,Lake Forest at Deer Park,LAKE FOREST BLVD & DEER PARK BLVD,30.032694,-89.968094,,,,,0
1653,N1653,Lake Forest at Kensington,LAKE FOREST BLVD & KENSINGTON BLVD,30.033109,-89.965605,,,,,0
1654,N1654,Lake Forest at Wright Rd.,LAKE FOREST BLVD & WRIGHT RD,30.03454,-89.961367,,,,,0
1655,N1655,Lake Forest at Foxcroft,LAKE FOREST BLVD & WRIGHT RD,30.035954,-89.959163,,,,,0
1656,N1656,Lake Forest at Louis Prima,LAKE FOREST BLVD & LOUIS PRIMA DR W,30.036851,-89.957683,,,,,0
1657,N1657,Lake Forest at Bullard,BULLARD AVE & WINROCK DR,30.038537,-89.955055,,,,,0
1658,N1658,Bullard at Levy Drive,BULLARD AVE & LEVY DR,30.040767,-89.956384,,,,,0
1666,N1666,I-10 Service Rd. at Wright Rd.,WRIGHT RD & I 10 SERVICE RD,30.042452,-89.968258,,,,,0
1668,N1668,Bullard at Fernley,FERNLEY DR & OAK LN,30.03374,-89.95116,,,,,0
